id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Ciamis_2023-11-21T18:00:00,Ciamis,2023-11-21 18:00:00,3,Berawan,90,22.0,72.0,36,140,10.6,1009,2023-11-21 18:00:00
Cianjur_2023-11-21T00:00:00,Cianjur,2023-11-21 00:00:00,1,Cerah Berawan,80,25.0,77.0,78,358,3.1,1011,2023-11-21
Cianjur_2023-11-21T06:00:00,Cianjur,2023-11-21 06:00:00,61,Hujan Sedang,55,27.0,81.0,70,358,2.9,1012,2023-11-21 06:00:00
Cianjur_2023-11-21T12:00:00,Cianjur,2023-11-21 12:00:00,61,Hujan Sedang,85,25.0,77.0,65,35,2.6,1011,2023-11-21 12:00:00
Cianjur_2023-11-21T18:00:00,Cianjur,2023-11-21 18:00:00,3,Berawan,90,21.0,70.0,68,6,3.5,1009,2023-11-21 18:00:00
Cilacap_2023-11-21T00:00:00,Cilacap,2023-11-21 00:00:00,3,Berawan,75,28.0,82.0,39,145,13.9,1011,2023-11-21
Cilacap_2023-11-21T06:00:00,Cilacap,2023-11-21 06:00:00,3,Berawan,60,32.0,90.0,37,145,13.4,1011,2023-11-21 06:00:00
Cilacap_2023-11-21T12:00:00,Cilacap,2023-11-21 12:00:00,3,Berawan,75,28.0,82.0,38,141,17.2,1011,2023-11-21 12:00:00
Cilacap_2023-11-21T18:00:00,Cilacap,2023-11-21 18:00:00,3,Berawan,95,25.0,77.0,36,129,16.1,1009,2023-11-21 18:00:00
Cimahi_2023-11-21T00:00:00,Cimahi,2023-11-21 00:00:00,1,Cerah Berawan,80,22.0,72.0,79,348,5.0,1012,2023-11-21
Cimahi_2023-11-21T06:00:00,Cimahi,2023-11-21 06:00:00,60,Hujan Ringan,55,31.0,88.0,67,348,5.5,1012,2023-11-21 06:00:00
Cimahi_2023-11-21T12:00:00,Cimahi,2023-11-21 12:00:00,3,Berawan,80,26.0,79.0,61,21,7.0,1011,2023-11-21 12:00:00
Cimahi_2023-11-21T18:00:00,Cimahi,2023-11-21 18:00:00,3,Berawan,90,24.0,75.0,58,12,5.5,1009,2023-11-21 18:00:00
Cirebon_2023-11-21T00:00:00,Cirebon,2023-11-21 00:00:00,1,Cerah Berawan,80,26.0,79.0,103,197,12.5,1010,2023-11-21
Cirebon_2023-11-21T06:00:00,Cirebon,2023-11-21 06:00:00,3,Berawan,50,36.0,97.0,104,197,12.8,1010,2023-11-21 06:00:00
Cirebon_2023-11-21T12:00:00,Cirebon,2023-11-21 12:00:00,3,Berawan,80,27.0,81.0,89,197,13.1,1009,2023-11-21 12:00:00
Cirebon_2023-11-21T18:00:00,Cirebon,2023-11-21 18:00:00,3,Berawan,90,23.0,73.0,87,197,15.5,1007,2023-11-21 18:00:00
Demak_2023-11-21T00:00:00,Demak,2023-11-21 00:00:00,1,Cerah Berawan,70,29.0,84.0,67,331,6.6,1010,2023-11-21
Demak_2023-11-21T06:00:00,Demak,2023-11-21 06:00:00,3,Berawan,55,35.0,95.0,70,331,8.0,1010,2023-11-21 06:00:00
Demak_2023-11-21T12:00:00,Demak,2023-11-21 12:00:00,61,Hujan Sedang,70,29.0,84.0,75,353,5.9,1009,2023-11-21 12:00:00
Demak_2023-11-21T18:00:00,Demak,2023-11-21 18:00:00,3,Berawan,80,26.0,79.0,85,351,9.8,1007,2023-11-21 18:00:00
