id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),last_update
Sampit_2023-11-18T18:53:54,Sampit,39*,Angin berputar 199 derajat,3.7 km/h,1009 mbar,2023-11-18 18:53:54
Balikpapan_2023-11-18T18:53:54,Balikpapan,43*,Angin berputar 163 derajat,3.7 km/h,1007 mbar,2023-11-18 18:53:54
Bontang_2023-11-18T18:53:54,Bontang,32*,Angin berputar 205 derajat,5.7 km/h,1009 mbar,2023-11-18 18:53:54
Samarinda_2023-11-18T18:53:54,Samarinda,38,Angin berputar 101 derajat,3.1 km/h,1009 mbar,2023-11-18 18:53:54
Balikpapan_2023-11-18T18:53:54,Balikpapan,43*,Angin berputar 163 derajat,3.7 km/h,1007 mbar,2023-11-18 18:53:54
Malinau_2023-11-18T18:53:54,Malinau,9*,Angin berputar 259 derajat,1.2 km/h,1009 mbar,2023-11-18 18:53:54
Tarakan_2023-11-18T18:53:54,Tarakan,8*,Angin berputar 126 derajat,7.4 km/h,1009 mbar,2023-11-18 18:53:54
Tanjungpinang_2023-11-18T18:53:54,Tanjungpinang,32,Angin berputar 231 derajat,19.5 km/h,1009 mbar,2023-11-18 18:53:54
Batam_2023-11-18T18:53:54,Batam,60,Angin berputar 20 derajat,24.4 km/h,1009 mbar,2023-11-18 18:53:54
Batam_2023-11-18T18:53:54,Batam,60,Angin berputar 20 derajat,24.4 km/h,1009 mbar,2023-11-18 18:53:54
Tarempa_2023-11-18T18:53:54,Tarempa,5*,Angin berputar 21 derajat,24 km/h,1009 mbar,2023-11-18 18:53:54
Bandarlampung_2023-11-18T18:53:54,Bandarlampung,65,Angin berputar 171 derajat,10 km/h,1009 mbar,2023-11-18 18:53:54
Metro_2023-11-18T18:53:54,Metro,82*,Angin berputar 165 derajat,13.1 km/h,1008 mbar,2023-11-18 18:53:54
Pringsewu_2023-11-18T18:53:54,Pringsewu,75*,Angin berputar 209 derajat,9.1 km/h,1009 mbar,2023-11-18 18:53:54
Ambon_2023-11-18T18:53:54,Ambon,45,Angin berputar 208 derajat,5.5 km/h,1008 mbar,2023-11-18 18:53:54
Ambon_2023-11-18T18:53:54,Ambon,45,Angin berputar 208 derajat,5.5 km/h,1008 mbar,2023-11-18 18:53:54
Bula_2023-11-18T18:53:54,Bula,44*,Angin berputar 111 derajat,10.2 km/h,1010 mbar,2023-11-18 18:53:54
Dobo_2023-11-18T18:53:54,Dobo,55*,Angin berputar 329 derajat,5.2 km/h,1010 mbar,2023-11-18 18:53:54
Namlea_2023-11-18T18:53:54,Namlea,54*,Angin berputar 93 derajat,10.8 km/h,1009 mbar,2023-11-18 18:53:54
Tual_2023-11-18T18:53:54,Tual,44*,Angin berputar 174 derajat,14.3 km/h,1010 mbar,2023-11-18 18:53:54
Ternate_2023-11-18T18:53:54,Ternate,33*,Angin berputar 222 derajat,5.9 km/h,1010 mbar,2023-11-18 18:53:54
Bima_2023-11-18T18:53:54,Bima,36*,Angin berputar 195 derajat,8.8 km/h,1010 mbar,2023-11-18 18:53:54
Dompu_2023-11-18T18:53:54,Dompu,36*,Angin berputar 203 derajat,7.1 km/h,1011 mbar,2023-11-18 18:53:54
Mataram_2023-11-18T18:53:54,Mataram,58,Angin berputar 177 derajat,16.1 km/h,1011 mbar,2023-11-18 18:53:54
Bima_2023-11-18T18:53:54,Bima,36*,Angin berputar 195 derajat,8.8 km/h,1010 mbar,2023-11-18 18:53:54
Bima_2023-11-18T18:53:54,Bima,36*,Angin berputar 195 derajat,8.8 km/h,1010 mbar,2023-11-18 18:53:54
Jayapura_2023-11-18T18:53:54,Jayapura,60,Angin berputar 56 derajat,11.9 km/h,1012 mbar,2023-11-18 18:53:54
Nabire_2023-11-18T18:53:54,Nabire,41*,Angin berputar 29 derajat,5.9 km/h,1010 mbar,2023-11-18 18:53:54
Sarmi_2023-11-18T18:53:54,Sarmi,33*,Angin berputar 113 derajat,11.2 km/h,1011 mbar,2023-11-18 18:53:54
Jayapura_2023-11-18T18:53:54,Jayapura,60,Angin berputar 56 derajat,11.9 km/h,1012 mbar,2023-11-18 18:53:54
