kota,jamCuaca,kodeCuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar
Langsa,2023-11-20 00:00:00,3,90,23.0,73.0,27,41,3.5,1012
Langsa,2023-11-20 06:00:00,61,65,31.0,88.0,29,41,3.9,1011
Langsa,2023-11-20 12:00:00,61,90,24.0,75.0,30,353,9.5,1012
Langsa,2023-11-20 18:00:00,95,95,23.0,73.0,28,22,7.7,1009
Lhokseumawe,2023-11-20 00:00:00,4,90,24.0,75.0,26,85,12.5,1012
Lhokseumawe,2023-11-20 06:00:00,3,65,30.0,86.0,35,85,9.0,1011
Lhokseumawe,2023-11-20 12:00:00,60,90,24.0,75.0,32,106,10.6,1013
Lhokseumawe,2023-11-20 18:00:00,95,95,23.0,73.0,39,106,9.0,1009
Madiun,2023-11-20 00:00:00,0,80,29.0,84.0,45,182,11.4,1011
Madiun,2023-11-20 06:00:00,0,45,34.0,93.0,43,182,12.5,1011
Madiun,2023-11-20 12:00:00,0,80,29.0,84.0,34,172,9.4,1009
Madiun,2023-11-20 18:00:00,1,90,24.0,75.0,40,160,8.6,1008
Magelang,2023-11-20 00:00:00,3,85,26.0,79.0,55,186,4.6,1014
Magelang,2023-11-20 06:00:00,3,65,31.0,88.0,56,186,4.2,1013
Magelang,2023-11-20 12:00:00,3,75,28.0,82.0,47,185,10.7,1012
Magelang,2023-11-20 18:00:00,3,85,23.0,73.0,45,184,9.0,1011
Magetan,2023-11-20 00:00:00,0,85,27.0,81.0,47,186,6.8,1012
Magetan,2023-11-20 06:00:00,0,45,34.0,93.0,47,186,7.5,1012
Magetan,2023-11-20 12:00:00,0,85,27.0,81.0,34,167,10.1,1011
Magetan,2023-11-20 18:00:00,1,90,24.0,75.0,37,166,8.7,1009
Majalengka,2023-11-20 00:00:00,1,80,25.0,77.0,70,88,8.1,1013
Majalengka,2023-11-20 06:00:00,60,55,34.0,93.0,59,88,7.4,1012
Majalengka,2023-11-20 12:00:00,1,80,25.0,77.0,54,121,5.9,1010
Majalengka,2023-11-20 18:00:00,1,90,23.0,73.0,57,123,7.1,1009
Majene,2023-11-20 00:00:00,60,70,27.0,81.0,33,232,3.6,1010
Majene,2023-11-20 06:00:00,60,70,30.0,86.0,29,232,7.2,1010
Majene,2023-11-20 12:00:00,60,85,27.0,81.0,30,140,12.7,1009
Majene,2023-11-20 18:00:00,60,85,25.0,77.0,32,135,7.7,1009
Malinau,2023-11-20 00:00:00,1,90,25.0,77.0,39,277,2.3,1010
Malinau,2023-11-20 06:00:00,1,60,32.0,90.0,40,277,2.4,1010
Malinau,2023-11-20 12:00:00,95,90,25.0,77.0,40,253,2.0,1009
